AS-IS PGM,AS-IS PGM명,Depth,AS-IS PGM 함수,AS-IS PGM 함수명,설명,"호출구분
(PR:접수, CO:개통)","구분1
(고객유형)","구분2
(서비스상세)","구분3
(단말유형)","구분4
(기타)",L4,L4의 기능
ZORDMSUB01120,신규가입 개통 후 처리,1,b240_send_omd_sms ,OMD 개통 안내메시지 전송,zngmmmsg12310 zordmcomn0050 zordmcomn0060 zeqp_eqp_ver_func_s0005,CO,,,,,BP-ORDTMFC002-0043-H035,신규가입 안내 메시지 발송
ZORDMSUB01120,신규가입 개통 후 처리,1,b250_send_A40_benf_mms ,A40 단말 개통 고객 혜택 문자발송,zngmmmsg12610,CO,,,,,BP-ORDTMFC002-0043-H035,신규가입 안내 메시지 발송
ZORDMSUB01120,신규가입 개통 후 처리,1,b299_get_irm ,최종 IRM조회,최종 개통완료 안내메세지 ,CO,,,,,BP-ORDTMFC002-0043-H033,신규가입 개통 후처리
ZORDMSUB01120,신규가입 개통 후 처리,1,b310_send_skt2m_mq_put,대리점 영업지원 시스템 신규가입 정보 전송(MQ),zordms9990500,CO,,,,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b320_send_ktoa_mntg,실시간 KTOA 모니터링 송신 모듈 호출,CA 제외 zordms0100950,CO,,,,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b330_send_add_skt2m_mq_put,"무약정이면서 스페셜할인,태블릿PC할인일경우  SKT2M 추가 전송 처리",zordms9990500,CO,,,,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b350_send_scrbr_mgmt,판매점id 입력자료에 한하여 판매채널에 대한 소속가입자관리,zordms0800092,CO,,,,판매조직ID,BP-ORDTMFC002-0043-H033,신규가입 개통 후처리
ZORDMSUB01120,신규가입 개통 후 처리,1,b360_send_pros_regu_convert,단골/가망 전환을 위한 단골고객삭제모듈 호출,"고객유형 개인이면서 일반or PPS 이면서 일반신규가입일때
zordmcus00180",CO,,,,,BP-ORDTMFC002-0043-H034,신규가입 단골고객관리
ZORDMSUB01120,신규가입 개통 후 처리,1,b361_call_zordmcus00195,스마트플래너 단골고객등록 '예' 선택한경우 단골고객등록 모듈 호출,"zordms0110052 
zordmcus00195",CO,,,,,BP-ORDTMFC002-0043-H034,신규가입 단골고객관리
ZORDMSUB01120,신규가입 개통 후 처리,1,b370_set_prom_obj_suces,철회재가입 시 SKT 30주년 프로모션 대상 승계 처리,zinv_prom_dc_obj_i0001,CO,,,,14일내철회후재가입(4),BP-ORDTMFC002-0043-H027,철회후 재가입 처리
ZORDMSUB01120,신규가입 개통 후 처리,1,b380_call_zordmcus00019,TID생성동의시 TID연동 모듈 호출,zordmcus00019,CO,,,,TID가입동의,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b390_call_zordmcus00810,KAIT  외국인 출국정보연동 모듈 호출,zordmcus00810,CO,,,,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b400_call_zordmcus00911,KAIT 단기간다회선 가입제한관련 집중전문연동 모듈호출,zordmcus00911,CO,,"일반(C1), 선불(C2) air(CB)
(이용종류 : 01,09,4)",,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b410_call_zordms05s0083,KAIT동일명의 집중전문 송신을 위한 업무처리연동 모듈호출,zordms05s0083,CO,,"일반(C1), 선불(C2) air(CB), 일반사업용(C8)",,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,b420_call_zordmcus01200,KAIT신복위채무조정 가입제한관련 집중전문연동 모듈호출,zordmcus01200,CO,,"일반(C1), air(CB)
(이용종류 : 01,4)",일반이동전화C1,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01120,신규가입 개통 후 처리,1,"b421_call_zordms0700050
b422_call_send_sp_mms",법인고객 KAIT동일명의 명의불일치시 정지모듈 호출,"KAIT동일명의 조회결과 명의불일치일 경우 호출
zordms0700050 (F3/64)

정지안내MMS 발송 zngmmmsg12610",CO,법인(02),"일반(C1), 선불(C2), 일반사업용(C8)",DS단말,,BP-ORDTMFC002-0043-I004,개통 후 인터페이스 송신
ZORDMSUB01050,신규가입 상품 서비스임시 저장,1,b140_update_zord_svc_tmp,요금제 임시정보 수정 (처리완료),zord_svc_tmp_u0025 (I1),CO,,,,[주문서],BP-ORDTMFC002-0043-H029,신규가입 상품가입
